wavelength,tdTomato ex,tdTomato em,tdTomato 2p
1068,,,0.9065
1069,,,0.9024
1070,,,0.9008
1071,,,0.9043
1072,,,0.9092
1073,,,0.9114
1074,,,0.9125
1075,,,0.913
1076,,,0.91
1077,,,0.9017
1078,,,0.8919
1079,,,0.8826
1080,,,0.8743
1081,,,0.8716
1082,,,0.8711
1083,,,0.8696
1084,,,0.8653
1085,,,0.8546
1086,,,0.8411
1087,,,0.8306
1088,,,0.8239
1089,,,0.8212
1090,,,0.8169
1091,,,0.806
1092,,,0.7912
1093,,,0.7754
1094,,,0.7636
1095,,,0.7586
1096,,,0.7563
1097,,,0.7555
1098,,,0.7541
1099,,,0.7497
1100,,,0.7446
1101,,,0.7393
1102,,,0.7316
1103,,,0.7217
1104,,,0.7104
1105,,,0.6979
1106,,,0.6847
1107,,,0.6728
1108,,,0.66
1109,,,0.6446
1110,,,0.6286
1111,,,0.6136
1112,,,0.5986
1113,,,0.5824
1114,,,0.5673
1115,,,0.5549
1116,,,0.5436
1117,,,0.5335
1118,,,0.5232
1119,,,0.5112
1120,,,0.4961
1121,,,0.4756
1122,,,0.4531
1123,,,0.4331
1124,,,0.4149
1125,,,0.3984
1126,,,0.382
1127,,,0.3646
1128,,,0.3458
1129,,,0.3247
1130,,,0.3043
1131,,,0.2865
1132,,,0.2696
1133,,,0.2526
1134,,,0.2368
1135,,,0.2226
1136,,,0.2099
1137,,,0.1973
1138,,,0.1854
1139,,,0.1744
1140,,,0.1647
1141,,,0.1556
1142,,,0.1479
1143,,,0.1415
1144,,,0.1356
1145,,,0.1288
1146,,,0.1226
1147,,,0.1174
1148,,,0.1127
1149,,,0.1082
1150,,,0.1039
1151,,,0.0998
1152,,,0.0958
1153,,,0.0915
1154,,,0.0874
1155,,,0.0839
1156,,,0.0807
1157,,,0.0779
1158,,,0.0752
1159,,,0.0725
1160,,,0.0695
1161,,,0.0658
1162,,,0.0617
1163,,,0.0574
1164,,,0.0531
1165,,,0.0488
1166,,,0.0449
1167,,,0.0414
1168,,,0.0383
1169,,,0.0355
1170,,,0.0331
1171,,,0.0308
1172,,,0.0287
1173,,,0.0267
1174,,,0.0248
1175,,,0.0231
1176,,,0.0215
1177,,,0.0199
1178,,,0.0185
1179,,,0.0172
1180,,,0.0161
1181,,,0.015
1182,,,0.0141
1183,,,0.0133
1184,,,0.0125
1185,,,0.0117
1186,,,0.011
1187,,,0.0103
1188,,,0.0096
1189,,,0.009
1190,,,0.0085
1191,,,0.008
1192,,,0.0076
1193,,,0.0072
1194,,,0.0068
1195,,,0.0063
1196,,,0.0059
1197,,,0.0056
1198,,,0.0053
1199,,,0.005
1200,,,0.0047
1201,,,0.0044
1202,,,0.0041
1203,,,0.0038
1204,,,0.0036
1205,,,0.0034
1206,,,0.0032
1207,,,0.003
1208,,,0.0028
1209,,,0.0026
1210,,,0.0024
1211,,,0.0023
1212,,,0.0021
1213,,,0.0019
1214,,,0.0018
1215,,,0.0016
1216,,,0.0015
1217,,,0.0014
1218,,,0.0013
1219,,,0.0013
1220,,,0.0012
1221,,,0.0011
1222,,,0.001
1223,,,0.001
1224,,,0.0009
1225,,,0.0009
1226,,,0.0008
1227,,,0.0008
1228,,,0.0007
1229,,,0.0007
1230,,,0.0006
1231,,,0.0006
1232,,,0.0006
1233,,,0.0006
1234,,,0.0005
1235,,,0.0005
1236,,,0.0005
1237,,,0.0005
1238,,,0.0004
1239,,,0.0004
1240,,,0.0004
1241,,,0.0003
1242,,,0.0003
1243,,,0.0003
1244,,,0.0003
1245,,,0.0003
1246,,,0.0003
1247,,,0.0003
1248,,,0.0002
1249,,,0.0002
1250,,,0.0002
1251,,,0.0002
1252,,,0.0002
1253,,,0.0002
1254,,,0.0002
1255,,,0.0002
1256,,,0.0002
1257,,,0.0002
1258,,,0.0002
1259,,,0.0001
1260,,,0.0001
1261,,,0.0001
1262,,,0.0001
1263,,,0.0001
1264,,,0.0001
1265,,,0.0001
1266,,,0.0001
1267,,,0.0001
1268,,,0.0001
1269,,,0.0001
1270,,,0.0001
1271,,,0.0001
1272,,,0.0001
1273,,,0.0001
1274,,,0.0001
1275,,,0.0001
1276,,,0.0001
1277,,,0.0001
1278,,,0.0001
1279,,,0.0001
1280,,,0.0001
1281,,,0.0001
1282,,,0.0001
1283,,,0.0001
1284,,,0.0001
1285,,,0.0001
1286,,,0.0001
1287,,,0.0001
1288,,,0.0001
1289,,,0.0001
1290,,,0.0001
1291,,,0.0001
1292,,,0.0001
1293,,,0.0001
1294,,,0.0001
1295,,,0.0
1296,,,0.0
1297,,,0.0001
1298,,,0.0001
1299,,,0.0001
1300,,,0.0001
1301,,,0.0001
1302,,,0.0001
1303,,,0.0001
1304,,,0.0
1305,,,0.0
1306,,,0.0
1307,,,0.0
1308,,,0.0
1309,,,0.0
1310,,,0.0
1311,,,0.0
1312,,,0.0
1313,,,0.0
1314,,,0.0
1315,,,0.0
1316,,,0.0
1317,,,0.0
1318,,,0.0
1319,,,0.0
1320,,,0.0
1321,,,0.0
1322,,,0.0
1323,,,0.0
1324,,,0.0
1325,,,0.0
1326,,,0.0
1327,,,0.0
1328,,,0.0
1329,,,0.0
1330,,,0.0
1331,,,0.0
1332,,,0.0
1333,,,0.0
1334,,,0.0
1335,,,0.0
1336,,,0.0
1337,,,0.0
1338,,,0.0
1339,,,0.0
1340,,,0.0
1341,,,0.0
1342,,,0.0
1343,,,0.0
1344,,,0.0
1345,,,0.0
1346,,,0.0
1347,,,0.0
1348,,,0.0
1349,,,0.0
1350,,,0.0
1351,,,0.0
1352,,,0.0
1353,,,0.0
1354,,,0.0
1355,,,0.0001
1356,,,0.0001
1357,,,0.0001
1358,,,0.0
1359,,,0.0
1360,,,0.0
1361,,,0.0
1362,,,0.0
1363,,,0.0
1364,,,0.0
1365,,,0.0
1366,,,0.0
1367,,,0.0
1368,,,0.0
1369,,,0.0
1370,,,0.0
1371,,,0.0001
1372,,,0.0001
1373,,,0.0001
1374,,,0.0001
1375,,,0.0
1376,,,0.0
1377,,,0.0
1378,,,0.0
1379,,,0.0
1380,,,0.0
1381,,,0.0
1382,,,0.0
1383,,,0.0
1384,,,0.0
1385,,,0.0
1386,,,0.0001
1387,,,0.0001
1388,,,0.0001
1389,,,0.0
1390,,,0.0
1391,,,0.0
1392,,,0.0
1393,,,0.0
1394,,,0.0
1395,,,0.0
1396,,,0.0
1397,,,0.0
1398,,,0.0
1399,,,0.0
